Id,SalePrice
1461,130689.50333333333
1462,158032.16666666666
1463,183116.65
1464,189899.54
1465,187944.56333333332
1466,182590.69666666666
1467,179821.25333333333
1468,174808.02333333335
1469,183278.85
1470,126561.53
1471,202318.25333333333
1472,100738.40333333334
1473,103042.77
1474,150421.69333333333
1475,118194.25
1476,343664.2866666667
1477,245117.94666666666
1478,273262.79
1479,230298.94333333333
1480,465478.69
1481,310435.2
1482,199570.69666666666
1483,180675.72666666665
1484,157562.85333333333
1485,169082.52333333335
1486,194511.71333333335
1487,315808.94333333336
1488,241358.76666666666
1489,202377.05333333334
1490,207507.02
1491,188644.58
1492,109658.23666666666
1493,190116.34
1494,313802.3
1495,303843.0366666667
1496,233064.28333333333
1497,191850.34
1498,153379.02333333335
1499,152868.55666666667
1500,166616.37666666668
1501,187695.35333333333
1502,143299.08666666667
1503,291771.18333333335
1504,230002.39333333334
1505,228657.12666666668
1506,182679.0
1507,210263.12333333332
1508,194599.97333333333
1509,157723.40666666668
1510,144243.35
1511,143406.80666666667
1512,168957.94666666666
1513,148834.96
1514,173539.99
1515,207913.62333333332
1516,154308.0
1517,160213.03333333333
1518,137375.45
1519,247603.92
1520,138408.76666666666
1521,138829.35
1522,162334.83333333334
1523,119968.57666666666
1524,124868.86666666667
1525,123155.07
1526,125004.02
1527,112146.8
1528,140208.80666666667
1529,143774.04333333333
1530,190117.75666666665
1531,131767.90333333332
1532,109443.04
1533,148267.42
1534,116089.52
1535,160436.18333333332
1536,120855.77666666667
1537,79307.67666666667
1538,152850.88333333333
1539,201494.81
1540,120419.1
1541,140405.3
1542,147291.83666666667
1543,217363.24333333335
1544,83195.55
1545,109996.08666666667
1546,120645.75333333333
1547,143588.74666666667
1548,132988.1
1549,119126.07666666666
1550,139638.57
1551,125584.71666666666
1552,145305.95333333334
1553,139612.69666666666
1554,115377.77666666667
1555,170312.12333333332
1556,104403.28333333334
1557,130517.11333333333
1558,85986.82666666666
1559,120061.23
1560,146336.39666666667
1561,147888.35666666666
1562,129093.18333333333
1563,126042.79333333333
1564,155164.92
1565,153475.07333333333
1566,243143.03666666665
1567,79428.59666666666
1568,212033.48666666666
1569,160109.37666666668
1570,128815.32
1571,122206.11333333333
1572,149377.44666666666
1573,235399.01666666666
1574,119493.46
1575,245978.47
1576,229929.7
1577,193671.47666666665
1578,139424.81
1579,146492.29333333333
1580,186783.5
